IDALOJAMIENTO,DIRECCION,VALORADMIN,AMOBLADO
11730,03045 Dayton Crossing,396961,N
11731,6542 Forster Way,497761,N
11732,98190 Heath Center,255365,N
11733,417 Parkside Road,541534,Y
11734,9 Arrowood Avenue,58078,N
11735,743 Cardinal Point,456824,Y
11736,5244 Sloan Court,507431,N
11737,7 Gerald Crossing,465726,N
11738,93 Nelson Trail,513153,Y
11739,57 Derek Road,498110,N
11740,77009 Meadow Vale Trail,208029,N
11741,1 Valley Edge Hill,215426,N
11742,20 Miller Road,380498,Y
11743,52285 Mcguire Road,255778,Y
11744,86 Ludington Hill,538874,Y
11745,2 Old Shore Hill,424604,Y
11746,5052 Wayridge Terrace,120029,N
11747,28269 Morrow Hill,355955,N
11748,88626 Judy Drive,19083,N
11749,1 Village Lane,203553,Y
11750,2 Burning Wood Drive,112243,N
11751,9 Anderson Point,342593,N
11752,5866 Westend Crossing,60891,N
11753,44019 Mandrake Way,128994,Y
11754,2 Jackson Hill,56597,Y
11755,47646 Everett Junction,15802,N
11756,729 Texas Alley,448368,N
11757,69595 Sundown Drive,596393,Y
11758,64069 Blackbird Way,348364,Y
11759,894 Donald Alley,347158,N
11760,0 Raven Hill,336625,N
11761,771 Jana Crossing,231392,Y
11762,3093 Washington Parkway,235475,Y
11763,3 Menomonie Pass,391734,N
11764,550 Lawn Street,295277,Y
11765,20510 Golf Trail,537393,N
11766,75342 Transport Trail,410634,N
11767,79587 Little Fleur Alley,50277,N
11768,16201 Northland Crossing,155481,N
11769,9754 Sommers Crossing,55548,Y
11770,030 Prairie Rose Point,522478,N
11771,7 Maple Wood Drive,213173,Y
11772,6337 Heath Avenue,469938,N
11773,10074 Dryden Terrace,402180,Y
11774,08386 Badeau Parkway,49525,Y
11775,1703 Russell Lane,358186,Y
11776,9371 Carpenter Street,258324,N
11777,5913 Meadow Vale Circle,175287,N
11778,4919 Lake View Center,487412,Y
11779,425 Clarendon Place,295176,N
11780,6954 Mccormick Way,65646,Y
11781,400 Westerfield Street,159525,Y
11782,3958 Continental Alley,244053,N
11783,7 Butterfield Point,191233,N
11784,9 Barby Parkway,178634,N
11785,7 Arizona Alley,190541,Y
11786,31 Northwestern Crossing,537651,Y
11787,975 Jenifer Terrace,521655,N
11788,147 Lunder Drive,234466,N
11789,3451 Knutson Point,406652,Y
11790,756 Birchwood Place,45006,N
11791,97997 Oak Valley Park,559862,Y
11792,79500 Thierer Court,451828,N
11793,36557 Dawn Parkway,359742,Y
11794,19 Village Alley,336669,Y
11795,15 Fremont Lane,448860,N
11796,843 Jana Place,156898,N
11797,8 Hooker Crossing,473786,N
11798,592 Colorado Point,24393,N
11799,6183 Claremont Trail,105619,N
11800,28 Darwin Circle,233246,N
11801,48463 Mallory Road,67128,Y
11802,44897 Heath Point,189772,Y
11803,62509 Lindbergh Lane,257821,N
11804,832 Linden Street,506015,N
11805,67 Mesta Crossing,436088,N
11806,099 Myrtle Parkway,150294,N
11807,70 Superior Lane,519922,N
11808,15613 Oxford Pass,534381,Y
11809,3592 Dwight Crossing,90480,Y
11810,28 Dapin Place,349848,N
11811,496 Algoma Court,549898,N
11812,44 Dahle Avenue,381390,N
11813,711 Oak Valley Parkway,184920,Y
11814,53931 Nancy Lane,158025,Y
11815,70275 Bobwhite Junction,436384,Y
11816,92 Kings Alley,346692,N
11817,34843 Clarendon Trail,322659,N
11818,24331 Melby Place,209876,N
11819,685 Autumn Leaf Center,439444,Y
11820,90 Loomis Way,185629,N
11821,04 Dryden Court,132326,Y
11822,03219 Portage Alley,473055,N
11823,78537 Monica Center,12302,N
11824,81422 Bartillon Way,532007,Y
11825,8 Crowley Court,540981,Y
11826,6386 Arizona Park,2923,N
11827,02 Forest Dale Crossing,266829,Y
11828,2054 Service Drive,447988,N
11829,47377 Rusk Place,409297,N
11830,62 Fordem Circle,452396,Y
11831,62 Chinook Park,332835,Y
11832,330 Kingsford Hill,171230,Y
11833,65033 Westerfield Road,150587,Y
11834,67 Westerfield Hill,416741,N
11835,5077 6th Alley,8502,N
11836,62894 Shasta Parkway,531086,Y
11837,6375 Di Loreto Circle,292873,Y
11838,02 Milwaukee Circle,476250,N
11839,41948 Kedzie Way,38037,Y
11840,4064 Thackeray Point,323707,N
11841,9 Arapahoe Street,42894,Y
11842,1924 Amoth Road,452848,Y
11843,89979 Bunting Lane,118556,Y
11844,3694 Sachs Junction,108520,Y
11845,4 Warrior Way,279862,N
11846,43299 Killdeer Park,287712,N
11847,2687 Sherman Street,499697,Y
11848,867 Killdeer Center,284112,N
11849,9011 International Court,237256,Y
11850,91 Myrtle Parkway,67657,N
11851,4596 8th Park,288282,N
11852,99350 Glendale Alley,320047,N
11853,8 Lake View Road,289022,Y
11854,07853 Cody Way,427636,N
11855,3038 Moland Park,292377,Y
11856,21538 Service Street,379205,Y
11857,72020 Quincy Drive,16678,Y
11858,8278 Declaration Crossing,591745,N
11859,27006 Ohio Court,127944,N
11860,1860 Dorton Drive,403428,Y
11861,16 Linden Circle,182287,N
11862,42211 Bay Way,193576,N
11863,68 Mccormick Trail,587001,N
11864,2182 Bonner Terrace,65055,Y
11865,75 Hallows Parkway,17649,N
11866,8 Scott Terrace,339813,Y
11867,6248 Onsgard Avenue,100266,Y
11868,23 Carioca Lane,591601,Y
11869,2 Schlimgen Street,61155,N
11870,294 Northwestern Place,328620,N
11871,1 Granby Point,543252,N
11872,7 Packers Road,40685,N
11873,062 Bultman Terrace,24097,N
11874,451 Lotheville Plaza,584553,Y
11875,8234 Grover Terrace,586592,Y
11876,119 Havey Street,544888,N
11877,6890 Nevada Alley,350561,N
11878,0 Petterle Plaza,120557,Y
11879,8613 Lotheville Hill,156203,Y
11880,5178 Brentwood Park,293613,Y
11881,1111 Westport Trail,433227,N
11882,64034 Onsgard Court,583063,Y
11883,2665 Oakridge Avenue,508025,N
11884,3556 Maywood Center,228603,N
11885,9594 Chinook Drive,65398,Y
11886,12 Fulton Place,456453,Y
11887,557 Spaight Parkway,21463,Y
11888,1 Eagan Place,574134,N
11889,6 Graceland Terrace,20590,Y
11890,9266 Forest Run Avenue,478079,Y
11891,52687 Evergreen Junction,475946,N
11892,22 Fuller Point,70802,Y
11893,60 Porter Park,124141,N
11894,2078 Laurel Place,43995,Y
11895,2 Golf Course Parkway,543041,N
11896,92 Pine View Parkway,273959,N
11897,4679 Burrows Lane,271688,Y
11898,43 Acker Alley,96159,Y
11899,9919 Acker Avenue,70421,Y
11900,744 Kedzie Trail,319,Y
11901,3354 Chinook Plaza,339846,Y
11902,2006 Kropf Lane,518978,Y
11903,3 Ryan Pass,269957,N
11904,3971 Meadow Valley Parkway,24893,Y
11905,0772 Bayside Center,327644,Y
11906,536 Dottie Lane,167702,Y
11907,856 Menomonie Park,69103,N
11908,9 Rockefeller Junction,168368,N
11909,0 Heath Alley,442664,N
11910,30 Fulton Terrace,107590,N
11911,69 Corben Trail,561422,Y
11912,2347 Kim Point,29542,Y
11913,17128 Grasskamp Hill,185296,N
11914,19713 Forster Hill,320386,N
11915,7743 Hayes Parkway,246696,Y
11916,459 Bluejay Avenue,297625,N
11917,80119 Atwood Parkway,5884,Y
11918,561 David Place,364788,Y
11919,15899 Anhalt Plaza,205475,N
11920,75764 Hayes Hill,281394,N
11921,1 Manufacturers Way,494298,Y
11922,50727 Pleasure Hill,1417,N
11923,10 Sunfield Crossing,566798,N
11924,4 Waxwing Court,131111,N
11925,3032 Grim Circle,58637,N
11926,2274 Artisan Park,92770,Y
11927,07 Oxford Junction,213643,N
11928,80 Bluestem Terrace,161983,Y
11929,48 Rieder Terrace,343613,Y
11930,2792 Barnett Lane,75834,N
11931,6 Evergreen Parkway,551542,N
11932,33955 Graedel Park,192047,N
11933,04294 Beilfuss Terrace,65060,Y
11934,45 Huxley Road,241160,N
11935,06866 South Pass,393001,N
11936,7594 Harbort Junction,349716,Y
11937,0128 Buena Vista Drive,79543,Y
11938,9 Rockefeller Way,96974,Y
11939,8 Holmberg Crossing,595341,N
11940,6749 Green Lane,429810,Y
11941,8 Ryan Avenue,314764,Y
11942,513 Sundown Drive,379740,Y
11943,1064 Ridge Oak Point,318578,N
11944,803 Darwin Pass,407570,Y
11945,86 Green Ridge Street,161297,N
11946,30809 Ludington Alley,269032,N
11947,50 Michigan Court,195913,Y
11948,523 Monica Point,322299,N
11949,5854 Hintze Parkway,535658,Y
11950,00 Graceland Circle,323017,N
11951,30 Pierstorff Road,257041,N
11952,09 Sycamore Terrace,320519,N
11953,480 6th Road,437547,Y
11954,13875 Drewry Court,491540,Y
11955,83568 Prairieview Pass,85059,N
11956,39 Dixon Crossing,279147,N
11957,326 Stuart Crossing,369227,N
11958,1785 Magdeline Way,165336,Y
11959,7094 Fulton Way,104697,N
11960,3848 Walton Place,596939,Y
11961,9 Lakewood Point,394085,N
11962,556 Forest Street,466864,N
11963,9 Del Sol Junction,546501,Y
11964,21 Reinke Place,376295,N
11965,38 Blue Bill Park Lane,584739,Y
11966,5 Emmet Avenue,61750,N
11967,85923 Meadow Vale Plaza,478020,N
11968,18970 Waywood Avenue,357124,Y
11969,9 Mendota Street,501889,N
11970,0 Di Loreto Trail,383515,N
11971,49 Kingsford Alley,457683,Y
11972,49 Ludington Center,58599,N
11973,96 Autumn Leaf Crossing,362728,N
11974,22211 Vernon Hill,524642,Y
11975,971 Swallow Crossing,474005,Y
11976,682 Lighthouse Bay Road,244827,Y
11977,2225 Heath Way,299785,Y
11978,4879 Hudson Terrace,292777,N
11979,83278 Jenifer Plaza,473957,N
11980,8 Eastwood Parkway,509281,N
11981,255 Debra Trail,119123,Y
11982,1 Westend Avenue,381293,Y
11983,73612 Susan Park,27607,Y
11984,769 Northfield Place,95242,N
11985,56367 Vera Pass,438787,N
11986,71 Parkside Parkway,449483,N
11987,164 Continental Street,38977,Y
11988,38 Cascade Place,363631,Y
11989,94 Crowley Park,303692,N
11990,187 Logan Hill,353860,Y
11991,1 Hoepker Place,383606,Y
11992,00 4th Pass,318670,N
11993,87471 Bultman Hill,277602,Y
11994,20 Village Green Place,55788,N
11995,3453 Corry Way,129240,Y
11996,63 Myrtle Drive,416219,N
11997,405 Dunning Alley,217106,Y
11998,44 Coolidge Point,98670,Y
11999,0624 Novick Circle,131919,N
12000,3684 Clyde Gallagher Point,90296,N
12001,4008 Hansons Circle,332462,Y
12002,36602 Goodland Road,544868,N
12003,02 Schlimgen Avenue,68693,N
12004,93 Blackbird Drive,597355,N
12005,2 Quincy Plaza,157438,Y
12006,58 Sutherland Road,544496,N
12007,4633 Coleman Drive,482531,Y
12008,0540 Randy Road,127937,Y
12009,0811 Bartillon Road,388800,Y
12010,30 Arizona Hill,308793,Y
12011,714 Hudson Plaza,397389,N
12012,30189 Nevada Park,138349,N
12013,5503 Ryan Point,222536,Y
12014,133 Knutson Place,479255,N
12015,538 Nova Lane,401907,N
12016,761 Kennedy Pass,546488,N
12017,4957 Donald Court,441313,N
12018,2042 Starling Hill,436842,Y
12019,99 Morning Pass,208753,N
12020,5504 Thackeray Park,123578,Y
12021,64731 Susan Junction,379928,N
12022,93001 Jenna Road,519,N
12023,8337 Kropf Terrace,291105,Y
12024,410 Hayes Way,483793,N
12025,4 Melby Way,541065,N
12026,4355 Merchant Avenue,14812,Y
12027,7 Walton Point,216635,Y
12028,10879 New Castle Circle,308969,N
12029,9622 Birchwood Alley,38159,Y
12030,4641 Scofield Way,540171,N
12031,563 Merchant Hill,302140,N
12032,0447 Ramsey Park,187023,Y
12033,06503 Gerald Drive,84569,Y
12034,7 Hagan Place,467112,N
12035,539 Haas Street,356858,Y
12036,726 Corry Place,292052,Y
12037,56951 Debra Street,592223,Y
12038,987 Monument Avenue,216338,N
12039,810 Moland Center,573051,Y
12040,942 Mccormick Terrace,52255,Y
12041,115 Arkansas Parkway,146867,Y
12042,5081 Hoard Court,352799,N
12043,45 Memorial Park,594645,N
12044,5730 Nancy Plaza,48650,N
12045,5921 Green Avenue,164607,N
12046,665 Jackson Trail,534812,Y
12047,86 Transport Road,562034,Y
12048,4774 Tennyson Point,445713,Y
12049,2905 Arapahoe Point,540064,N
12050,849 Hollow Ridge Plaza,414378,N
12051,45 Reindahl Pass,17718,Y
12052,8 Eastlawn Way,149455,Y
12053,925 Clemons Center,596176,N
12054,7 Portage Trail,278279,N
12055,670 Birchwood Point,567975,N
12056,923 Donald Plaza,546510,N
12057,669 Mcbride Road,201319,N
12058,79 Oneill Plaza,496713,Y
12059,49506 John Wall Junction,147592,N
12060,6 Longview Avenue,23885,N
12061,376 Reindahl Avenue,300876,N
12062,81 Bayside Park,119025,N
12063,3 8th Center,346880,N
12064,46392 Rigney Parkway,421541,N
12065,46751 Bluestem Center,523207,Y
12066,22445 Pond Court,539921,N
12067,6 Scofield Court,547675,N
12068,36 Jay Trail,544783,N
12069,4 Russell Road,121685,Y
12070,70 Stone Corner Road,300439,Y
12071,12463 Superior Place,173214,Y
12072,9 International Place,213132,Y
12073,1869 Rusk Circle,138009,Y
12074,5 Vidon Park,365319,Y
12075,06502 Ludington Point,138920,Y
12076,1 Comanche Plaza,191383,N
12077,04 Fair Oaks Plaza,324625,Y
12078,611 Mallard Lane,317701,Y
12079,3078 Schmedeman Hill,193437,Y
12080,0 Summit Circle,129412,N
12081,78703 Ridgeway Lane,321193,Y
12082,63679 Melby Terrace,577892,Y
12083,517 South Trail,306099,N
12084,2 Pearson Avenue,197989,Y
12085,386 Elka Alley,367167,N
12086,421 Rockefeller Road,292416,Y
12087,4 Bay Place,181637,N
12088,34830 Sunfield Terrace,468386,N
12089,5250 Parkside Terrace,378413,N
12090,42 Green Trail,297940,N
12091,9 Northwestern Park,294414,Y
12092,376 Huxley Park,507491,N
12093,8 Monument Parkway,63819,Y
12094,86524 Maple Hill,228595,N
12095,800 Meadow Ridge Circle,91414,N
12096,90 Eagan Park,219154,N
12097,162 Shelley Lane,580832,N
12098,289 Eastwood Terrace,496323,Y
12099,53 Prairieview Park,220829,Y
12100,86779 Logan Terrace,491048,Y
12101,17346 Oakridge Road,117864,N
12102,0 Troy Hill,347405,Y
12103,7930 Randy Center,37515,Y
12104,0 Schiller Place,443088,Y
12105,198 Moulton Circle,165157,N
12106,6336 Forest Dale Crossing,33921,N
12107,696 Vidon Drive,46564,Y
12108,8 Pennsylvania Road,10240,N
12109,8 Rowland Alley,144603,Y
12110,5299 Green Park,145351,Y
12111,07861 Aberg Place,437434,N
12112,07656 Meadow Vale Park,279638,N
12113,070 Union Park,461526,N
12114,64784 Delladonna Alley,39749,Y
12115,4 Corscot Park,100709,Y
12116,668 Fordem Point,340145,Y
12117,9338 Mesta Hill,197467,Y
12118,25 Nobel Park,169154,N
12119,276 Hanover Crossing,139312,Y
12120,70062 Pleasure Hill,33379,Y
12121,02 Ridge Oak Plaza,269335,Y
12122,519 Thackeray Junction,229777,Y
12123,1 Ridgeview Road,5784,N
12124,95065 Leroy Circle,38213,Y
12125,60 Dexter Center,253419,Y
12126,147 Hoepker Lane,72974,N
12127,411 Lukken Court,127410,Y
12128,8092 Division Avenue,476303,Y
12129,69 Butternut Court,487916,Y
12130,5513 Pankratz Terrace,235993,Y
12131,1145 Barnett Street,317770,N
12132,50276 Vermont Parkway,36408,N
12133,40258 Hanson Crossing,326722,N
12134,2762 Division Plaza,433749,N
12135,75653 Rowland Parkway,23616,Y
12136,1309 Anderson Park,586176,N
12137,90 Lyons Plaza,142006,Y
12138,43 Hansons Crossing,353478,N
12139,38 Tennyson Court,321377,N
12140,9 Lien Park,5437,N
12141,12 Fremont Street,56438,N
12142,68579 Sommers Crossing,425098,Y
12143,5901 Old Shore Court,410589,N
12144,8 Kingsford Lane,195940,N
12145,82 Anhalt Court,494030,Y
12146,52 Thierer Trail,19208,N
12147,77814 Victoria Place,189685,N
12148,2961 Gerald Place,284003,Y
12149,099 Eggendart Junction,177572,N
12150,7841 Warbler Terrace,499046,Y
12151,69 Continental Terrace,386889,Y
12152,4774 Northport Point,463350,N
12153,41 Basil Pass,248080,N
12154,812 Blaine Parkway,151770,N
12155,95 Pawling Crossing,146147,N
12156,753 Rowland Junction,252222,Y
12157,7 3rd Crossing,115930,N
12158,425 Farwell Road,133211,N
12159,88 Basil Road,282027,N
12160,048 Kingsford Park,209697,N
12161,8 Fairfield Alley,483345,N
12162,631 Melrose Circle,452366,Y
12163,35466 Chinook Hill,408684,N
12164,96 Summerview Park,508940,Y
12165,46 Nelson Park,68081,N
12166,4993 Bobwhite Crossing,415033,N
12167,72397 Hovde Trail,404908,N
12168,273 Ronald Regan Way,77934,N
12169,2 Bultman Crossing,193062,Y
12170,2619 Laurel Junction,534243,Y
12171,55242 Farragut Plaza,266507,N
12172,5246 Algoma Center,370163,N
12173,0905 Starling Trail,73080,Y
12174,7 Aberg Pass,576985,Y
12175,033 Buell Center,295576,Y
12176,6916 West Drive,586227,N
12177,523 Rieder Parkway,226826,N
12178,16 Burrows Point,79409,N
12179,07 Fordem Terrace,41604,Y
12180,1364 Shopko Lane,213154,N
12181,341 Barby Alley,166328,N
12182,38 Golf Course Road,351902,Y
12183,883 Moose Alley,67213,N
12184,8 Warrior Crossing,438088,N
12185,470 Algoma Hill,574180,Y
12186,58837 Parkside Terrace,126332,N
12187,366 Rieder Hill,267843,Y
12188,461 Commercial Circle,354513,Y
12189,45 Stoughton Circle,328930,N
12190,5 Surrey Alley,90118,N
12191,02 Bay Junction,439127,N
12192,41 Schlimgen Alley,570068,N
12193,3 Holmberg Pass,310061,N
12194,883 Aberg Court,72615,Y
12195,705 Starling Junction,270956,Y
12196,546 Spenser Trail,184701,Y
12197,9 Leroy Avenue,236324,N
12198,6 Fisk Circle,154308,N
12199,001 Morrow Avenue,320727,N
12200,9 Swallow Park,338807,N
12201,62556 Chinook Drive,444296,Y
12202,4 Springview Alley,206134,Y
12203,00 Forest Dale Plaza,359081,Y
12204,1 Carioca Drive,386590,N
12205,670 Shasta Point,436686,Y
12206,93918 Bobwhite Junction,554864,N
12207,2978 Grim Avenue,270216,N
12208,04 Bartillon Avenue,205528,Y
12209,87 Mcbride Place,59513,N
12210,54 Hollow Ridge Way,264945,N
12211,12325 Truax Road,54201,N
12212,4103 Jana Circle,546281,Y
12213,17 Forest Road,310888,N
12214,3 Forster Hill,175596,N
12215,6261 Garrison Junction,430983,N
12216,75284 Derek Plaza,499251,Y
12217,9361 Forest Run Center,77981,N
12218,27 Forest Dale Alley,453935,N
12219,2918 Marcy Avenue,457753,Y
12220,90 Hintze Alley,25173,Y
12221,4149 Gateway Pass,560241,N
12222,50502 Shoshone Park,58260,N
12223,1 Waywood Drive,426820,Y
12224,9037 Schmedeman Court,141457,Y
12225,72 2nd Drive,392190,Y
12226,0 Buell Park,80582,N
12227,0346 Chinook Parkway,521687,Y
12228,40717 Sachtjen Road,331913,Y
12229,45224 Spohn Road,599189,Y
12230,5 Moose Point,383190,N
12231,1 Delaware Crossing,123682,N
12232,4 Donald Drive,317890,N
12233,15209 Fordem Road,6877,Y
12234,9593 Morrow Street,202163,Y
12235,1 Independence Court,71571,Y
12236,7873 Sycamore Junction,514034,Y
12237,75 Amoth Place,103686,Y
12238,562 Pond Court,472013,N
12239,78890 Express Point,458284,N
12240,8617 Forster Junction,556301,Y
12241,1556 Starling Crossing,288608,N
12242,14 Victoria Hill,235941,Y
12243,725 Village Terrace,354343,N
12244,02 Walton Crossing,525210,Y
12245,02 Southridge Pass,190948,N
12246,8171 Birchwood Terrace,136238,N
12247,08136 Golden Leaf Plaza,367906,Y
12248,05 Eliot Trail,541361,N
12249,7 Bultman Park,202893,Y
12250,874 Hallows Park,367357,N
12251,1683 Northridge Plaza,84281,N
12252,962 Milwaukee Point,436892,N
12253,41846 Spenser Hill,152693,Y
12254,6 Rutledge Drive,321335,N
12255,92789 Sommers Lane,44735,N
12256,33 Stoughton Drive,315891,N
12257,19026 Dawn Park,324201,N
12258,28 Pepper Wood Road,255358,N
12259,689 Johnson Plaza,84890,N
12260,36 Carey Circle,387128,N
